"date","score"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"14/04/2015","2"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","2"
"14/04/2015","1"
"14/04/2015","2"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","3"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","3"
"14/04/2015","3"
"14/04/2015","2"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","2"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","2"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","0"
"14/04/2015","1"
"14/04/2015","0"
"14/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","2"
"13/04/2015","2"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","2"
"13/04/2015","2"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","2"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","0"
"13/04/2015","1"
"13/04/2015","0"
