,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,49,Aix galericulata,08/10/2025 16:26,08/10/2025,16:26:50,0,0,0,0,../output/camera/everyones_Species/Aix galericulata,camera_15_49_2025__2025-10-08__16-26-50(1).JPG,6
2,49,Capreolus capreolus,14/10/2025 02:42,14/10/2025,02:42:32,0,0,0,0,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-10-14__02-42-32(1).JPG,3
3,49,Capreolus capreolus,14/10/2025 18:56,14/10/2025,18:56:51,58459,974.3,16.2,0.7,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-10-14__18-56-51(1).JPG,3
4,49,Capreolus capreolus,16/10/2025 03:00,16/10/2025,03:00:33,115422,1923.7,32.1,1.3,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-10-16__03-00-33(1).JPG,3
5,49,Capreolus capreolus,17/10/2025 19:38,17/10/2025,19:38:28,146275,2437.9,40.6,1.7,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-10-17__19-38-28(1).JPG,3
6,49,Capreolus capreolus,23/10/2025 04:29,23/10/2025,04:29:08,463840,7730.7,128.8,5.4,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-10-23__04-29-08(1).JPG,3
7,49,Capreolus capreolus,02/11/2025 06:46,02/11/2025,06:46:30,872242,14537.4,242.3,10.1,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-11-02__06-46-30(1).JPG,3
8,49,Capreolus capreolus,05/11/2025 07:48,05/11/2025,07:48:29,262919,4382,73,3,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-11-05__07-48-29(1).JPG,3
9,49,Capreolus capreolus,17/11/2025 22:21,17/11/2025,22:21:28,1089179,18153,302.6,12.6,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-11-17__22-21-28(1).JPG,3
10,49,Capreolus capreolus,23/11/2025 05:29,23/11/2025,05:29:11,457663,7627.7,127.1,5.3,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-11-23__05-29-11(1).JPG,3
